author,title,journal,volume,number,pages,year,doi,URL,abstract
Yizhou Qian and Susanne Hambrusch and Aman Yadav and Sarah Gretter and Yue Li,Teachers’ Perceptions of Student Misconceptions in Introductory Programming,Journal of Educational Computing Research,58,2,364–397,2020bl,10.1177/0735633119845413,,"A quality computer science (CS) teacher needs to understand students’ common misconceptions in learning CS. This study explored one aspect of CS teachers’ understanding of student misconceptions: their perceptions of student misconceptions related to introductory programming. Perceptions in this study included three parts: teachers’ perceived frequency of a student misconception, teachers’ perceived importance of a misconception in learning, and teachers’ confidence in addressing a misconception. Teachers in our study taught a Python-based CS course for high schools students. A survey was designed and administered to assess teachers’ perceptions of students’ misconceptions. Our results indicated that teachers’ confidence of addressing misconceptions and the teaching context may affect their perceptions of student misconceptions. We also found that some latent misconceptions are likely to lead to a perception of low frequency as they can be more difficult to detect. Moreover, our study found that teachers’ degrees and additional computing training showed positive relationships with their confidence of addressing student misconceptions and that additional computing training also showed a positive relationship with teachers’ perceived importance of student misconceptions. Implications of the findings for future research and practice of CS education are discussed."
Sharin Rawhiya Jacob and Jonathan Montoya and Mark Warschauer,Exploring the Intersectional Development of Computer Science Identities in Young Latinas,Teachers College Record,124,5,166–185,2022bm,10.1177/01614681221103932,,"Background: There has been a dearth of research on intersectional identities in STEM, including the fields of computing and engineering. In computing education research, much work has been done on broadening participation, but there has been little investigation into how the field of computer science (CS) presents opportunities for students with strong intersectional identities. This study explores the strengths and connections among the unique identities and the symbiotic relationships that elementary Latina students hold in CS identity attainment. Purpose: The aim of this article is to better understand how predominantly low-income, multilingual Latina students experience identity development through the lens of diverse group membership. We examine how young Latinas, through their participation in a yearlong culturally and linguistically responsive CS curriculum, leverage their intersecting identities to rewrite the formula of what a computer scientist is and can be, leaving space to include and invite other strong identities as well. Research Design: An explanatory sequential mixed-methods design was used that analyzed data from predominantly low-income, multilingual Latinas in upper elementary grades, including pre- and post-CS identity surveys (N = 50) delivered before and after implementation of the curriculum, and eight individual semi-structured student interviews. Findings: We found that Latina students developed significantly stronger identification with the field of CS from the beginning to the end of the school year with regard to their experiences with CS, perception of themselves as computer scientists, family support for CS and school, and friend support for CS and school. Interviews revealed that perception of their CS ability greatly influenced identification with CS and that girls’ self-perceptions stemmed from their school, cultural, and home learning environments. Conclusion: Our results highlight the wealth of resources that Latinas bring to the classroom through their home- and community-based assets, which are characterized by intersecting group membership. Students did not report on the intersection between language and CS identity development, which warrants further investigation."
N. Renu and K. Sunil,Integrating Computational Data Science in University Curriculum for the New Generation of Scientists,Higher Education for the Future,10,2,183–195,2023bn,10.1177/23476311231183204,,"Integration of computational data science (CDS) into the university curriculum offers several advantages for students, faculty and the institution. This article discusses the benefits to students of introducing CDS into the university curriculum with a focus on developing skills in cheminformatics, data analysis, structure–activity relationships, modelling and simulation. Moreover, CDS can enable students to engage with complex chemical and toxicological data in new and dynamic ways, helping them to develop a more nuanced understanding of the potential hazards and risks associated with different chemicals and substances. On the other hand, it can foster greater collaboration between students and faculty and with external partners in industry and government. This can lead to the development of more effective and efficient toxicological testing methods and tools to screen chemicals for potential hazards and aid the development of environmentally friendly chemicals. Overall, the integration of CDS into the university curriculum will help prepare the next generation of scientists giving them a competitive edge to make considerable contributions to green chemistry, designing safer chemicals and non-animal testing methods. It will enable them to tackle modern challenges facing society including identifying safer and more sustainable chemicals and predicting the health and environmental impacts of novel chemical substances."
Valerie F Reyna and Susan C Ellis,Fuzzy-Trace Theory and Framing Effects in Children’s Risky Decision Making,Psychological Science,5,5,275–279,1994bo,10.1111/j.1467-9280.1994.tb00625.x,,"Traditional theories of cognitive development predict that children progress from intuitive to computational thinking, whereas fuzzy-trace theory makes the opposite prediction To evaluate these alternatives, framing problems were administered to preschoolers, second graders, and fifth graders Consistent with fuzzy-trace theory, results indicated (a) that younger children focused on quantitative differences between outcomes and did not exhibit framing effects (risk avoidance for gains, risk seeking for losses) and (b) that older children assimilated these quantitative differences and displayed framing effects"
Todd Reynolds and Andrea C. Burrows and Mike Borowczak,Confusion Over Models: Exploring Discourse in a STEM Professional Development,Sage Open,12,2,21582440221097916,2022bp,10.1177/21582440221097916,,"For 2 weeks in the summer of 2018, K-12 science, technology, engineering, and mathematics (STEM) teachers (n = 40) attended a professional development (PD) that included four sessions focused on computer science modeling with follow-up academic year sessions; however, overall, the teachers did not incorporate or utilize modeling means or how as the instructors intended. The purpose of the study is to examine why this occurred, and the authors looked at the teachers’ modeling discourse. Using two theories to connect to practice (terministic screens, and schema theory), the authors collected data via the surveys, interviews, and email reflections. The authors analyzed the results via coding to explore participants’ concept of models and the potential difficulties of implementing computer modeling in their classrooms. Findings show that the term model was interpreted differently by the PD’s faculty team and participants. Further, the authors found that the majority of presenters held differing theories of models than the participants. Participant concepts of models did improve slightly after the PD, but lingering model concepts caused confusion with the anticipated PD results. Conclusions include five general modeling concepts which are presented and explained. Implications are provided showcasing articulated keys for delivering PD that assists in eliminating discursive and theoretical issues. Included are considerations for STEM teacher educators, PD providers, and K-12 teachers. The main study limitations include mixed K-12 teaching participants, distance between participants, a self-selected population, and non-generalizable findings based on qualitative work. Future directions are outlined."
Gail Richmond and Robert E. Floden and Corey Drake,Research That Illuminates Enduring Dilemmas in Teacher Education,Journal of Teacher Education,69,4,327–329,2018bq,10.1177/0022487118786735,,
Scott Rodgers,"Foreign objects? Web content management systems, journalistic cultures and the ontology of software",Journalism,16,1,10–26,2015br,10.1177/1464884914545729,,"Research on ‘digital’ journalism has focused largely on online news, with comparatively less interest in the longer-term implications of software and computational technologies. Drawing upon a 6-year study of the Toronto Star, this article provides an account of TOPS, an in-house web content management system which served as the backbone of thestar.com for 6 years. For some, TOPS was a successful software innovation, while for others, a strategic digital ‘property’. But for most journalists, it was slow, deficient in functionality, aesthetically unappealing and cumbersome. Although several organizational factors can explain TOPS’ obstinacy, I argue for particular attention to the complex ontology of software. Based on an outline of this ontology, I suggest software be taken seriously as an object of journalism, which implies acknowledging its partial autonomy from human use or authorization, accounting for its ability to mutate indefinitely and analysing its capacity to encourage forms of ‘computational thinking’."
Umberto Luigi Roncoroni and Veronica Crousse de Vallongue and Octavio Centurion Bolaños,Computational creativity issues in generative design and digital fabrication of complex 3D meshes,International Journal of Architectural Computing,0,0,14780771241260850,2024bs,10.1177/14780771241260850,,"This article describes generative algorithms and Digital Fabrication techniques with organic materials to create complex 3D objects for industrial design, sculpture, and architecture. Experimental artistic production using these algorithms concluded with a solution based on programmable meshes, which use identifiers to control the topological characteristics of vertices during the modeling process. On the other hand, the hybridization of analog and digital techniques was explored through fabrication. Comparing artistic production and hybrid techniques with generative AI, we will discuss topics of Computational Creativity in art, industrial design, and architecture. The programmable meshes solution, combined with hybrid fabrication processes, enables an incredible variety of complex forms, stimulates artistic creativity, and provides flexible feedback to bypass some Digital Fabrication issues. Our findings also elucidate the importance of original technology development and cultural identity in fostering creative and culturally inclusive technologies for art and education."
Rafi Santo and Leigh Ann DeLyser and June Ahn,Booting the system: Leadership practices for initiating and infrastructuring district-wide computer science instructional programs,Policy Futures in Education,0,0,14782103231178068,2023bt,10.1177/14782103231178069,,"While a small number of school districts across the United States are well into the process of implementing system-wide computer science education (CSed), most districts are only just getting started. But what does it look like to “get started” on CSed for a whole district? This manuscript presents a single case study of a district’s process of initiating their CS instructional initiative, highlighting a distinct set of instructional leadership practices and the institutional conditions they were responding to. Early implementation research around CSed shows that in some districts, leadership practices are less often the focus of early activities. This study sheds light on what such leadership practices can look like in the early stages of a district’s CSed initiative. Our analysis, based on qualitative data collected longitudinally over 18 months of the district’s work, identified eight intertwined leadership practices that aimed to support instructional coherence, and in our findings, we share a narrative of the district’s initiation of its CS initiative around them. The case begins with the (1) initial leadership team formation and details how that team engaged in (2) content-specific instructional capacity building for its members and (3) sensemaking of ideas around CS with their relationship to existing district activities. It moves on to the team’s (4) development of an instructional vision and an (5) associated implementation strategy, which fed into processes of (6) sensegiving to foster buy-in among teachers, and providing encouragement to engage in (7) instructional piloting. Finally, leaders engaged in (8) landscape analysis activities in order to understand existing district resources and teacher perceptions related to CS. Throughout the case, we highlight the motivations behind these practices, what resources they drew on, intersections, and dependencies among them. We close our analysis exploring a number of tensions and unintended consequences associated with these leadership activities."
Dhanashree Sardeshpande and Vasudha Gokhale,“Legibility” a product of obligatory processes in parametric architectural design: A study of implications of associative modeling on design thinking in a parametric architectural design studio,International Journal of Architectural Computing,20,4,728–741,2022bu,10.1177/14780771221139911,,"In a problem-based, digital-intensive learning environment, the increased proliferation of computational tools used for architectural design has led to a fundamental transformation in architectural studios. Many studies have shown that this has significantly led to the change in cognition of design environments in academia. Design decisions are made through a recursive process that is cyclically refined by allowing constant feedback and testing. This paper represents an observational study with an aim to understand the impact of digital mediums on design processes and design outcomes focusing on associative modeling using VPL. It contextualizes the difference, the associative modeling system as a parametric subset brings to design thinking when used as a medium to explore architectural design. It analyzes specific attributes of associative modeling, otherwise native to computational thinking, that contribute to the legibility of the design process. The paper demonstrates how associative modeling allows the design process to be examined and edited at any stage during and even after algorithmic development, bringing in flexibility. It is argued that digital design tool affordances enable students to develop multilayered and more structured design logic that augments cognition bringing more legibility to the design thinking process."
Kristin Sayeski,"New Year, Expanded Opportunities",TEACHING Exceptional Children,48,1,7–8,2015bv,10.1177/0040059915597689,,
Yoonhee Shin and Jaewon Jung and Joerg Zumbach and Eunseon Yi,The Effects of Worked-Out Example and Metacognitive Scaffolding on Problem-Solving Programming,Journal of Educational Computing Research,61,6,1312–1331,2023bw,10.1177/07356331231174454,,"This study explores the effects of worked-out examples and metacognitive scaffolding on novice learners’ knowledge performance, cognitive loads, and self-regulation skills in problem-solving programming. 126 undergraduate students in a computer programming fundamentals course were randomly assigned to one of four groups: 1) task performance with a traditional WOE (TW), 2) task performance with a faded WOE (FW), 3) task performance with traditional WOE and metacognitive scaffolding (TWM), and 4) task performance with a faded WOE and metacognitive scaffolding (FWM). Over the course of 3 weeks, participants in these four groups were asked to solve programming problems using Python with WOE and metacognitive scaffolding. The results demonstrate that the provision of metacognitive scaffolding with faded WOE (FWM) is the most effective for problem-solving programming and self-regulation skills. In addition, an interaction effect exists between the two treatments for the germane load in FWM. Therefore, results in this study provide empirical insights into ways to effectively apply WOE and metacognitive scaffolding to problem-solving processes for programming-based complex problem-solving, especially for novice learners."
Yoonhee Shin and Donggil Song,The Effects of Self-Regulated Learning Support on Learners’ Task Performance and Cognitive Load in Computer Programing,Journal of Educational Computing Research,60,6,1490–1513,2022bx,10.1177/07356331211052632,,"This study explores the effect of self-regulated learning support on learners’ cognitive load and problem-solving performance, considering cases from well-structured to ill-structured tasks in a computer programing course. Sixty-seven undergraduate students in a computer programing fundamentals course were randomly assigned into one of two groups: (1) experimental group (N = 34; received self-regulated learning support) and (2) control group (N = 33). Participants in both groups were asked to solve programing problems using Python over 3 weeks, and their cognitive load levels were measured after each week. The results showed that novice learners’ self-regulated learning skills can be influenced by learning support, which contributes to solving complex problems. The results also suggest that, given the sequence of tasks (i.e., basic and advanced well-structured and ill-structured problems), self-regulated learning support may require time to be effective. The germane load of the experimental group was higher for well-structured problems than that of the control group. Using logistic regression, the two groups were differentiated through different variables measured in this study, which showed a high predictive explanatory power. The results provide implications for designing self-regulated learning support for programing courses, using problem-based learning in association with problem-solving skills, self-regulated learning skills, and cognitive load management."
Lusia Maryani Silitonga and Budi Dharmawan and Astrid Tiara Murti and Ting-Ting Wu,Promoting Entrepreneurial Intentions and Competencies Through Business Simulation Games,Journal of Educational Computing Research,62,3,725–755,2024by,10.1177/07356331231209772,,"Business simulation games (BSG) offer a unique opportunity to provide students with hands-on experience in a simulated business environment. This study aims to explore the effectiveness of BSG in promoting entrepreneurial intentions and competencies among undergraduate students. The study was conducted with 48 students, who participated in BSG as part of their entrepreneurship education (EE). The study used a quasi-experiment to measure changes in students’ cognitive and non-cognitive entrepreneurial competencies, as well as their entrepreneurial intentions. The results show that participation in the BSG significantly improved students’ cognitive and non-cognitive entrepreneurial competencies, as well as their intention to start a new business. The study concludes that BSG can be an effective teaching strategy for promoting EE and developing entrepreneurial competencies among undergraduate students. However, further research with larger sample sizes and diverse populations is needed to confirm these findings and explore how combining BSG with other teaching methods or interventions can enhance the development of entrepreneurial competencies and intentions."
Yanjie Song and Siu-Cheung Kong,Investigating Students’ Acceptance of a Statistics Learning Platform Using Technology Acceptance Model,Journal of Educational Computing Research,55,6,865–897,2017bz,10.1177/0735633116688320,,"The study aims at investigating university students’ acceptance of a statistics learning platform to support the learning of statistics in a blended learning context. Three kinds of digital resources, which are simulations, online videos, and online quizzes, were provided on the platform. Premised on the technology acceptance model, we adopted a revised model consisting of four external factors (self-efficacy, facilitating conditions, subjective norm, and anxiety) that may influence students’ perceptions and acceptance of the platform. A mixed research method was used. A total of 102 participants were involved in this study. Data collection includes questionnaires survey, individual interviews, and focus group discussions. The findings show that students’ intention to use the platform is affected by their attitude toward the platform, which is significantly influenced by perceived usefulness. Further suggestions regarding the design and implementation of a learning platform are provided based on the observations and results of the study. This preliminary study provides valuable insights into our further refinement of the platform and development of a learning analytics platform in the future for better learning of students in statistics."
Henrik Stigberg and Susanne Stigberg,Teaching programming and mathematics in practice: A case study from a Swedish primary school,Policy Futures in Education,18,4,483–496,2020ca,10.1177/1478210319894785,,"Programming and computational thinking have emerged as compulsory skills in elementary school education. In 2018, Sweden has integrated programming in mathematics education with the rationale that it fosters problem solving and logical thinking skills and motivates students to learn mathematics. We investigated how teachers introduce programming in mathematics education in a Swedish primary school using an explorative case study. We followed four mathematics teachers during the first semester in which programming was mandatory. They taught second-, sixth- and ninth-grade students. Our contributions are threefold: we provide an account of how programming is taught in mathematics education; we discuss how teachers reflect on the challenge of teaching programming in mathematics; and we report on students’ understanding of programming and their view on the relationship between programming and mathematics."
Wanda Strauven,Sewing machines and weaving looms: a media archaeological encounter between fashion and film,Journal of Visual Culture,19,3,362–377,2020cb,10.1177/1470412920964905,,"This article proposes thinking of media archaeology as an operating table upon which historical, material and technological interconnections between fashion and film are made. By exploring how early cinema and digital film can be coupled to textile as technology, more specifically through the mechanisms of the sewing machine and the Jacquard loom, it extends the historical span from the mid-1890s, with the invention of cinema as projection, to the early 1800s, when computational thinking was successfully implemented as weaving technique. Instead of focusing on film and fashion as means of visual representation, the author relies on the concept of inscription for a better understanding of both cinema (as recording of light and movement) and textile (with its various thread techniques of weaving, stitching, knitting, etc.)."
Dan Sun and Fan Ouyang and Yan Li and Hongyu Chen,Three Contrasting Pairs’ Collaborative Programming Processes in China’s Secondary Education,Journal of Educational Computing Research,59,4,740–762,2021cc,10.1177/0735633120973430,,"Pair programming is a collaborative learning mode to foster novice learners’ computer programming. Previous empirical research has reported contrasting conclusions about the effect of pair programming on student learning. To further understand students’ pair programming, this study uses a mixed method to analyze three contrasting pairs’ collaborative behaviors, discourses, and perceptions from a multi-dimensional perspective. The analysis results show that the high-ranked student pair is characterized as the interactive, socially-supportive, and goal-oriented pair; the middle-ranked student pair is characterized as the highly-interactive, socially-supportive, and process-oriented pair; and the low-ranked student pair is characterized as the lowly-interactive, socially-unsupportive, and programming-distracted pair. The research reveals complex relations between collaborative behaviors, discourses, and performances, which have critical influences on students’ pair programming quality. Based on the results, this research proposes pedagogical, analytical, and theoretical implications for future instructional design, learning analytics, and empirical research of collaborative programming."
Oon Seng Tan,"Technology, Future Learning and Flourishing Thinking",International Journal of Chinese Education,6,1,81–104,2017cd,10.1163/22125868-12340075,,"The 21st century era of rapidly changing technology entails cognizance of the changing nature of knowledge, learning and environments. New models of knowledge building and knowledge co-creation are emerging. Personalized learning takes on new dimensions with mobile devices and new tools for sharing and meta-thinking. Evidences from research in learning sciences and neurosciences point to the importance of understanding human cognition and behaviors in optimizing the use of technology for learning. Future learning entails a powerful use of the cognitive propensity to learn by imitation and modeling as well as the novelty of inquiry and creation. Didactics are replaced by conversational learning with social media as powerful platforms. Apart from the analytics and logic, future learning incorporates big picture thinking, multiple perspective thinking and connective thinking to flourish problem-solving and creativity. The address will conclude with some implications for design and practice."
Kellie Taylor and Youngkyun Baek,"Collaborative Robotics, More Than Just Working in Groups",Journal of Educational Computing Research,56,7,979–1004,2018ce,10.1177/0735633117731382,,"The purpose of this study was to determine what collaborative interventions produce positive effects for students working on collaborative robotics projects for science process skills, collaborative problem-solving, and learning motivation. In addition, the study examined the impact students’ prior robotics experience had on science process skills, collaborative problem-solving, and learning motivation. The results indicated experience level and collaboration interventions can have impacts on students. Assigned Group Roles had positive effects on students’ motivation and collaborative problem-solving. Experience level also had effects upon student learning motivation and collaborative problem-solving with the Novice status associated with higher levels as compared with students who had more experience. A collaboration intervention was identified that has the potential to produce positive effects for students in collaborative robotics projects as well as assist classroom educators in the purposeful design of collaborative robotics projects with scientifically based strategies to improve the attitudinal outcomes for students of various robotics experience."
Stephanie Torres Jiménez and Jhon Jairo Ramírez-Echeverry and Felipe Restrepo-Calle,The Development and Validation of the Questionnaire to Characterize Learning Strategies in Computer Programming (CEAPC),Journal of Educational Computing Research,61,8,103–138,2024cf,10.1177/07356331231183450,,"This article presents the design, construct validation, and reliability of a self-report instrument in Spanish that aims to characterize different types of strategies that students can use to learn computer programming. We provide a comprehensive overview of the identification of learning strategies in the existing literature, the design and development of preliminary questionnaire items, the refinement of item wording, and the examination of the internal structure and reliability of the final instrument. The construction of the items was based on the educational theory of Self-Regulated Learning. The final version of the questionnaire, called the Computer Programming Learning Strategies Questionnaire (CEAPC), was administered to 647 students enrolled in computer programming courses. The data collected from the participants were used to examine the construct validity and reliability of the questionnaire. The CEAPC consists of 13 subscales, each corresponding to a different type of learning strategy, and a total of 89 items. Statistical analyses of the data indicate that the CEAPC has adequate construct validity. In addition, the results of the internal consistency analysis indicate satisfactory reliability across the different subscales of the instrument. This study contributes to the field of educational research, particularly in the area of self-regulated learning in computer programming."
Achraf Touati and Youngkyun Baek,What Leads to Player’s Enjoyment and Achievement in a Mobile Learning Game?,Journal of Educational Computing Research,56,3,344–368,2018cg,10.1177/0735633117713022,,"This study investigated students’ perceptions of competence and enjoyment of a mobile game within the context of mobile game-based learning. The proposed model showed that perceived competence and game attitude were the main predictors of enjoyment, while no direct relationship was found between perceived competence and gaming achievement. The model simultaneously considered other factors such as prior game experience and intensity of use, and final analysis revealed that these two variables were directly related. Another important finding was the strong impact of prior game experience on perceived competence. Results are interpreted with reference to implications for possible means of improving learning outcomes when using mobile learning games in the academic context."
Chun-Yen Tsai and Yun-An Chen and Fu-Pei Hsieh and Min-Hsiung Chuang and Chien-Liang Lin,Effects of a Programming Course Using the GAME Model on Undergraduates’ Self-Efficacy and Basic Programming Concepts,Journal of Educational Computing Research,62,3,702–724,2024ch,10.1177/07356331231206071,,"In higher education, it is challenging to cultivate non-computer science majors’ programming concepts. This study used the GAME model (gamification, assessment, modeling, and enquiry) in a programming education course to enhance undergraduates’ self-efficacy and performance of basic programming concepts. There were 83 undergraduates taking part in this study, which adopted a quasi-experimental research design. Students in the experimental group (n = 43) experienced a course in which the GAME model was used to design the block-based programming course. The control group (n = 40) was given a general information education course covering similar learning concepts without the game-based learning strategy. The analysis of covariance (ANCOVA) was adopted to investigate the effect of the GAME model on students’ learning outcomes for the quantitative data. In the qualitative analysis, students’ responses to the course perception questionnaire were coded and analyzed. The results showed that students in the experimental group outperformed their counterparts regarding self-efficacy and basic programming concepts. The experimental treatment resulted in a small to medium effect size difference between the two groups. The results showed that incorporating the GAME model into block-based programming teaching helped improve undergraduates’ self-efficacy and performance of basic programming concepts. In addition, these experimental group undergraduates also perceived the pedagogic GAME model positively. Several research suggestions are proposed based on the findings of the present study."
Meng-Jung Tsai and Ching-Yeh Wang,Assessing Young Students’ Design Thinking Disposition and Its Relationship With Computer Programming Self-Efficacy,Journal of Educational Computing Research,59,3,410–428,2021ci,10.1177/0735633120967326,,"To explore the role of design thinking in contemporary computer literacy education, this study aimed to examine the relationship between young students’ design thinking disposition and their computer programming self-efficacy. To assess students’ design thinking disposition, this study developed the Design Thinking Disposition Scale (DTDS) with a sample of 350 junior high school students who had computer programming experience in a STEAM course. A principle axis factor analysis with the promax rotation method was used to verify the DTDS’s construct under the four dimensions: empathize, define, ideate and prototype. The Cronbach’s alpha reliability was .90 for the overall scale. Correlation analyses results showed that all the four dimensions were significantly correlated with computer programming self-efficacy assessed by CPSES. A significant regression model was found in which the three factors, ideate, prototype and define, significantly predicted the overall computer programming self-efficacy. Meanwhile, except for the ideate subscale, no gender difference was found in the young students’ design thinking dispositions. The students’ self-directed programming learning experience was shown to benefit their design thinking disposition. The DTDS can be applied to design-thinking-embedded computer literacy curricula such as makers, STEAM, or robotics education. Several further studies are also suggested."
Meng-Jung Tsai and Ching-Yeh Wang and Po-Fen Hsu,Developing the Computer Programming Self-Efficacy Scale for Computer Literacy Education,Journal of Educational Computing Research,56,8,1345–1360,2019cj,10.1177/0735633117746747,,"Computer programming has been gradually emphasized in recent computer literacy education and regarded as a requirement for all middle school students in some countries. To understand young students’ perceptions about their own learning in computer programming, this study aimed to develop an instrument, Computer Programming Self-Efficacy Scale (CPSES), for all students above middle school levels. Based on Berland and Lee’s computational thinking framework, this study developed the CPSES items at a literacy level and finally the instrument included the five subscales: Logical Thinking, Algorithm, Debug, Control, and Cooperation. An exploratory factor analysis and reliability tests were conducted in this study. The reliability alpha was .96 for the overall scale, and ranged from .84 to .96 for the subscales. This study also confirmed the positive correlation between computer programming experience and computer programming self-efficacy. In addition, for low- and middle-experienced learners, significant gender differences were found in two subscales: Algorithm and Debug. The CPSES can be applied as an evaluation tool in computer education, robotics education, as well as integrated STEM or STEAM education in which computer programming was regarded as a part of computer literacy."
Meng-Jung Tsai and Ching-Yeh Wang and An-Hsuan Wu and Chun-Ying Hsiao,The Development and Validation of the Robotics Learning Self-Efficacy Scale (RLSES),Journal of Educational Computing Research,59,6,1056–1074,2021ck,10.1177/0735633121992594,,"Robotics education has gradually been emphasized in contemporary school curricula; however, assessment tools for robotics learning are still limited. Based on Bloom’s Taxonomy of educational objectives, this study aimed to develop the Robotics Learning Self-Efficacy Scale (RLSES) with a two-level construct of five dimensions for assessing students’ self-efficacy for learning robotics. A total of 181 elementary, junior high and senior high school students (5th–12th graders) with robotics learning experience were selected as the sample of this study. A questionnaire including 32 candidate items designed for the initial version of the RLSES was administered to the sample. An exploratory factor analysis was conducted and, finally, 16 items were drawn for the final RLSES under five subscales (Comprehension, Practice, Analysis, Application, and Collaboration), with a total explained variance of 85.28%. The Cronbach’s alpha reliability was .97 for the overall scale, ranging from .87 to .95 for the subscales. The inter-correlation analysis showed evidence of discriminant validity. Regression analysis results supported that Practice and Comprehension self-efficacy were significant predictors of Analysis, Application, and Collaboration self-efficacy, confirming the two-level (2 × 3) construct of the RLSES. Significant differences among school levels were found and are discussed."
Bige Tunçer and Francisco Benita,Data-driven thinking for measuring the human experience in the built environment,International Journal of Architectural Computing,20,2,316–333,2022cl,10.1177/14780771211025142,,"This article introduces a methodology to implement Data-driven Thinking in the context of urban design. We present the results of a case study based on a 7-day workshop with 10 participants with landscape design and architecture background. The goal of the workshop was to expose participants to Data-driven Thinking through experimental design, multi-sensor data collection, data analysis, visualization, and insight generation. We evaluate their learning experience in designing an experimental setup, collecting real-time immediate environmental and physiological body reactions data. Our results from the workshop show that participants increased their knowledge about measuring, visualizing and understanding data of the surrounding built environment."
Cengiz Tüysüz and Nurettin Can Bodur and Ilker Ugulu,Tinkercad Circuits Platform-Based Learning Experiences of Gifted Students in the Emergency Distance Education Process,Journal of Advanced Academics,35,2,329–356,2024cm,10.1177/1932202X241230589,,"An issue arising in emergency distance education procedures, such as the response to the COVID-19 pandemic, is a lack of appropriate high-quality content and course activities for high ability students suitable for distance education. In this study, online CAD-based learning experiences structured with the Tinkercad Circuits Platform designed for gifted students were investigated based on the opinions of students regarding the distance education activity and the evaluations of the students’ scientific writing skills. This study used a single case holistic design with 10 gifted 6th-grade students at Usak Science and Art Center in Türkiye. All of the students stated that they had not previously encountered an activity such as the “smart air conditioning system”. The students also stated that although the activity was carried out in the form of distance education, it was positive and fun to be application-based, and that it was fun to research, discuss, design, and code with Tinkercad to look for a solution to the given problem. The evaluation of students’ products showed participants’ high level of proficiency in activities requiring advanced problem-solving skills, including planning the solution to the problem, creating an alternative plan for the solution, realizing, and evaluating the design."
Gamze Uçak and Günizi Kartal,Scaffolding design to increase reading comprehension for learners of English through online strategy training,E-Learning and Digital Media,20,4,402–423,2023cn,10.1177/20427530221111268,,"This study explored the effects of reading strategy training delivered online through an experimental scaffolding tool in comparison to similar training delivered by a teacher, and a control condition. The instructional design of the tool followed scaffolding design guidelines, reciprocal teaching model, and principles of multimedia design. The training provided metacognitive reading strategy instruction to improve reading comprehension through multiple strategies using multiple texts. The participants were 87 college students studying English as a Foreign Language (EFL) at an English medium university in Turkey. At pretest, the control group had scored significantly higher in reading comprehension based on a standardized measure. Both of the experimental groups significantly improved their reading comprehension and metacognitive strategy awareness, while the control group’s reading and engagement scores decreased. The in-class experimental group also improved on the engagement scale. No significant difference was found between the experimental groups or compared to the control group in reading comprehension. The findings have implications regarding institutional policies for teaching reading in EFL and online reading strategy design at the tertiary level."
Xiao-Ming Wang and Shi-Man Wang and Jia-Ni Wang and Gwo-Jen Hwang and Su Xu,Effects of a Two-Tier Test Strategy on Students’ Digital Game-Based Learning Performances and Flow Experience in Environmental Education,Journal of Educational Computing Research,60,8,1942–1968,2023co,10.1177/07356331221095162,,"At present, environmental issues are of concern to all countries, especially for developing countries, and education on waste sorting is urgent. However, it remains a challenge to improve students’ learning achievement and engagement in environmental education. Researchers have pointed out the potential of digital games for promoting students’ learning motivation. In addition, the two-tier testing mechanism has been recognized as an effective tool for correcting students’ misconceptions and promoting their in-depth thinking. Therefore, this study proposed a two-tier testing-based digital gaming approach. To verify the effectiveness of the approach, a digital game was developed and a quasi-experiment was conducted. The participants were two classes of fifth graders, with one class as the experimental group using the two-tier test-based digital game and the other class as the control group learning with the conventional digital game. The results showed that the digital game-based learning with two-tier testing model was conducive to students’ improved academic performance compared with the conventional digital game-based learning model, especially for students in the low-level group, who were able to make greater progress. In addition, the approach was effective in terms of reducing students’ cognitive load and improving their flow experience."
Karen Woo and Garry Falloon,The Search for Computer Science Concepts in Coding Animated Narratives: Tensions and Opportunities,Journal of Educational Computing Research,61,7,1335–1358,2023cp,10.1177/07356331231174929,,"Coding is increasingly popular in schools around the world and is often taught by non-specialist teachers as an integrated task with other subject areas. In this article, we explore the relationship between computer science (CS) concepts and students’ multimodal expression in a coding animated narrative (CAN) task in the context of an integrated English-Technology unit of learning. Through this collective case study, we explore how CS concepts underpin semiotic elements of an animated narrative, analyse the factors that influence the extent to which students exercise those concepts, and reveal the tensions and opportunities that a CAN task may present for learning computer science concepts in regular, non-specialist, cross-curricular classrooms. The findings suggest that CAN tasks are unique in presenting opportunities for students to learn challenging CS concepts such as synchronisation and parallelism. At the same time, CAN tasks present tensions for teaching CS concepts in non-specialist classrooms, where student projects are often judged on their visual qualities. In such settings, procedural, rather than conceptual knowledge, may be a more efficient route to creative outcomes. It also means that drawing skills need to be prioritised. Role specialisation often led to better quality projects but at the expense of individual students’ conceptual development in computer science."
